Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLX29 (Nov '29)",58.09,-0.97,58.09,58.09,58.09,59.06,N/A,N/A,2023-01-03
"CLZ29 (Dec '29)",58.01,-0.96,0,58.01,58.01,58.97,0,1310,2023-01-03
"CLF30 (Jan '30)",57.84,-0.95999999999999,57.84,57.84,57.84,58.8,N/A,N/A,2023-01-03
"CLG30 (Feb '30)",57.68,-0.95,57.68,57.68,57.68,58.63,N/A,N/A,2023-01-03
"CLH30 (Mar '30)",57.55,-0.95,57.55,57.55,57.55,58.5,N/A,N/A,2023-01-03
"CLJ30 (Apr '30)",57.39,-0.94,57.39,57.39,57.39,58.33,N/A,N/A,2023-01-03
"CLK30 (May '30)",57.26,-0.94,57.26,57.26,57.26,58.2,N/A,N/A,2023-01-03
"CLM30 (Jun '30)",57.24,-0.89,0,57.24,57.24,58.13,0,1,2023-01-03
"CLN30 (Jul '30)",57.12,-0.89,57.12,57.12,57.12,58.01,N/A,N/A,2023-01-03
"CLQ30 (Aug '30)",56.96,-0.89,56.96,56.96,56.96,57.85,N/A,N/A,2023-01-03
"CLU30 (Sep '30)",56.84,-0.88999999999999,56.84,56.84,56.84,57.73,N/A,N/A,2023-01-03
"CLV30 (Oct '30)",56.69,-0.89,56.69,56.69,56.69,57.58,N/A,N/A,2023-01-03
"CLX30 (Nov '30)",56.56,-0.89,56.56,56.56,56.56,57.45,N/A,N/A,2023-01-03
"CLZ30 (Dec '30)",56.33,-0.89,56.33,56.33,56.33,57.22,N/A,30,2023-01-03
"CLF31 (Jan '31)",56.32,-0.89,56.32,56.32,56.32,57.21,N/A,N/A,2023-01-03
"CLG31 (Feb '31)",56.21,-0.89,56.21,56.21,56.21,57.1,N/A,N/A,2023-01-03
"CLH31 (Mar '31)",56.12,-0.89,56.12,56.12,56.12,57.01,N/A,N/A,2023-01-03
"CLJ31 (Apr '31)",56.01,-0.89,56.01,56.01,56.01,56.9,N/A,N/A,2023-01-03
"CLK31 (May '31)",55.92,-0.89,55.92,55.92,55.92,56.81,N/A,N/A,2023-01-03
"CLM31 (Jun '31)",55.81,-0.89,55.81,55.81,55.81,56.7,N/A,N/A,2023-01-03
"CLN31 (Jul '31)",55.72,-0.89,55.72,55.72,55.72,56.61,N/A,N/A,2023-01-03
"CLQ31 (Aug '31)",55.61,-0.89,55.61,55.61,55.61,56.5,N/A,N/A,2023-01-03
"CLU31 (Sep '31)",55.5,-0.89,55.5,55.5,55.5,56.39,N/A,N/A,2023-01-03
"CLV31 (Oct '31)",55.39,-0.89,55.39,55.39,55.39,56.28,N/A,N/A,2023-01-03
"CLX31 (Nov '31)",55.29,-0.89,55.29,55.29,55.29,56.18,N/A,N/A,2023-01-03
"CLZ31 (Dec '31)",54.93,-0.89,0,54.93,54.93,55.82,0,14,2023-01-03
"CLF32 (Jan '32)",55.03,-0.89,55.03,55.03,55.03,55.92,N/A,N/A,2023-01-03
"CLG32 (Feb '32)",54.95,-0.89,54.95,54.95,54.95,55.84,N/A,N/A,2023-01-03
"CLH32 (Mar '32)",54.87,-0.89,54.87,54.87,54.87,55.76,N/A,N/A,2023-01-03
"CLJ32 (Apr '32)",54.8,-0.89,54.8,54.8,54.8,55.69,N/A,N/A,2023-01-03
"CLK32 (May '32)",54.71,-0.89,54.71,54.71,54.71,55.6,N/A,N/A,2023-01-03
"CLM32 (Jun '32)",54.61,-0.89,54.61,54.61,54.61,55.5,N/A,N/A,2023-01-03
"CLN32 (Jul '32)",54.49,-0.89,54.49,54.49,54.49,55.38,N/A,N/A,2023-01-03
"CLQ32 (Aug '32)",54.38,-0.89,54.38,54.38,54.38,55.27,N/A,N/A,2023-01-03
"CLU32 (Sep '32)",54.25,-0.89,54.25,54.25,54.25,55.14,N/A,N/A,2023-01-03
"CLV32 (Oct '32)",54.14,-0.89,54.14,54.14,54.14,55.03,N/A,N/A,2023-01-03
"CLX32 (Nov '32)",54.02,-0.88999999999999,54.02,54.02,54.02,54.91,N/A,N/A,2023-01-03
"CLZ32 (Dec '32)",53.72,-0.89,53.72,53.72,53.72,54.61,N/A,1000,2023-01-03
"CLF33 (Jan '33)",53.65,-0.89,53.65,53.65,53.65,54.54,N/A,N/A,2023-01-03
